编号|歌名|歌手|语别|类别|拼音|字数|笔画|新歌|版本|原唱音轨|音量|点击率|时长
35000151|一个人生活[吴莫愁]|中国好声音|1|1|YGRSH|5|13334|1|1|0|60|0|00:00
35000152|滚滚红尘[袁娅维]|中国好声音|1|1|GGHC|4|4452|1|1|0|60|0|00:00
35000153|假行僧[张赫宣]|中国好声音|1|1|JHS|3|333|1|1|0|60|0|00:00
35000154|你把我灌醉[张赫宣]|中国好声音|1|1|NBWGZ|5|31341|1|1|0|60|0|00:00
35000155|英雄崛起(MTV)[张玮]|中国好声音|1|1|YXJQ|4|1121|1|1|0|60|0|00:00
60071564|2reasons|TREYSONGZ/T.I|4|4|ER|1||1|0|0|50|0|
60071565|50waystosaygoodbye|TRAIN|4|1|WLWTSG|1||1|0|0|49|0|
60071568|anymanofmine(演唱会)|张靓颖|4|1|AMOM|1||1|0|0|48|0|
60071569|babybaby|陈启泰|1|1|BB|1||1|0|0|48|0|
60071570|badboy|吴鑫桐|1|1|BB|1||1|0|0|49|0|
60071571|beyourman|小护士|1|1|BYM|1||1|0|0|52|0|
60071572|beautifulchaos|熊宝贝乐团|1|1|BC|1||1|0|0|52|0|
60071574|beautifulluv|大嘴巴|1|1|BL|1||1|0|0|48|0|
60071575|bestforlast|ADELE|4|1|BFL|1||1|0|0|53|0|
60071576|bf还是fb|刘伊心|1|1|BHSF|3|12|1|0|0|48|0|
60071577|blackheart|STOOSHE|4|1|BH|1||1|0|0|49|0|
60071578|bong|JKAI/DIXON/MIKETOE|1|4|BONG|1||1|0|0|47|0|
60071579|boombiboom|S翼乐团|1|1|BBB|1||1|0|0|52|0|
60071581|buring|MARIAARRDONDO|4|1|BURING|1||1|0|0|52|0|
60071582|colourlove|于瑛楠|1|1|CL|1||1|0|0|49|0|
60071583|crazyforyou|ADELE|4|1|CFY|1||1|0|0|58|0|
60071584|crazyinlove|BEYONCE|4|1|CIL|1||1|0|0|47|0|
60071585|daydreamer|ADELE|4|1|DAYDRE|1||1|0|0|49|0|
